Dataset,Algorithm,Grid Size,Total Placements,Residential,Utility,Score,Time (s),Peak Memory (MB),Parameters
a_example,genetic_algorithm,4x7,5,3,2,125,0.4414,0.8017,"population_size=12, generations=35, elite_size=2, tournament_size=3, crossover_rate=0.9, mutation_rate=0.35, max_runtime_s=3600, seed=1810, top_k_res=10, destroy_repair_rate=0.35, crossover_type=spatial, min_population_size=8, max_population_size=18, stagnation_generations=5, population_growth_step=4, population_shrink_step=2"
a_example,genetic_algorithm,4x7,5,3,2,125,0.3914,0.6378,"population_size=12, generations=35, elite_size=2, tournament_size=3, crossover_rate=0.9, mutation_rate=0.35, max_runtime_s=3600, seed=1910, top_k_res=10, destroy_repair_rate=0.35, crossover_type=spatial, min_population_size=8, max_population_size=18, stagnation_generations=5, population_growth_step=4, population_shrink_step=2"
a_example,genetic_algorithm,4x7,5,3,2,125,0.3787,0.6391,"population_size=12, generations=35, elite_size=2, tournament_size=3, crossover_rate=0.9, mutation_rate=0.35, max_runtime_s=3600, seed=2010, top_k_res=10, destroy_repair_rate=0.35, crossover_type=spatial, min_population_size=8, max_population_size=18, stagnation_generations=5, population_growth_step=4, population_shrink_step=2"
a_example,genetic_algorithm,4x7,5,3,2,125,0.3738,0.6384,"population_size=12, generations=35, elite_size=2, tournament_size=3, crossover_rate=0.9, mutation_rate=0.35, max_runtime_s=3600, seed=2110, top_k_res=10, destroy_repair_rate=0.35, crossover_type=spatial, min_population_size=8, max_population_size=18, stagnation_generations=5, population_growth_step=4, population_shrink_step=2"
a_example,genetic_algorithm,4x7,5,3,2,125,0.3761,0.6378,"population_size=12, generations=35, elite_size=2, tournament_size=3, crossover_rate=0.9, mutation_rate=0.35, max_runtime_s=3600, seed=2210, top_k_res=10, destroy_repair_rate=0.35, crossover_type=spatial, min_population_size=8, max_population_size=18, stagnation_generations=5, population_growth_step=4, population_shrink_step=2"
a_example,genetic_algorithm,4x7,5,3,2,125,0.3280,0.5415,"population_size=12, generations=35, elite_size=2, tournament_size=3, crossover_rate=0.9, mutation_rate=0.35, max_runtime_s=3600, seed=1699, top_k_res=10, destroy_repair_rate=0.35, crossover_type=score_aware, min_population_size=8, max_population_size=18, stagnation_generations=5, population_growth_step=4, population_shrink_step=2"
a_example,genetic_algorithm,4x7,5,3,2,125,0.3219,0.5386,"population_size=12, generations=35, elite_size=2, tournament_size=3, crossover_rate=0.9, mutation_rate=0.35, max_runtime_s=3600, seed=1799, top_k_res=10, destroy_repair_rate=0.35, crossover_type=score_aware, min_population_size=8, max_population_size=18, stagnation_generations=5, population_growth_step=4, population_shrink_step=2"
a_example,genetic_algorithm,4x7,5,3,2,125,0.3272,0.5386,"population_size=12, generations=35, elite_size=2, tournament_size=3, crossover_rate=0.9, mutation_rate=0.35, max_runtime_s=3600, seed=1899, top_k_res=10, destroy_repair_rate=0.35, crossover_type=score_aware, min_population_size=8, max_population_size=18, stagnation_generations=5, population_growth_step=4, population_shrink_step=2"
a_example,genetic_algorithm,4x7,5,3,2,125,0.3321,0.5386,"population_size=12, generations=35, elite_size=2, tournament_size=3, crossover_rate=0.9, mutation_rate=0.35, max_runtime_s=3600, seed=1999, top_k_res=10, destroy_repair_rate=0.35, crossover_type=score_aware, min_population_size=8, max_population_size=18, stagnation_generations=5, population_growth_step=4, population_shrink_step=2"
a_example,genetic_algorithm,4x7,5,3,2,125,0.3458,0.5386,"population_size=12, generations=35, elite_size=2, tournament_size=3, crossover_rate=0.9, mutation_rate=0.35, max_runtime_s=3600, seed=2099, top_k_res=10, destroy_repair_rate=0.35, crossover_type=score_aware, min_population_size=8, max_population_size=18, stagnation_generations=5, population_growth_step=4, population_shrink_step=2"
a_example,genetic_algorithm,4x7,5,3,2,125,0.4084,0.6033,"population_size=12, generations=35, elite_size=2, tournament_size=3, crossover_rate=0.9, mutation_rate=0.35, max_runtime_s=3600, seed=1867, top_k_res=10, destroy_repair_rate=0.35, crossover_type=clustered, min_population_size=8, max_population_size=18, stagnation_generations=5, population_growth_step=4, population_shrink_step=2"
a_example,genetic_algorithm,4x7,5,3,2,125,0.4066,0.5950,"population_size=12, generations=35, elite_size=2, tournament_size=3, crossover_rate=0.9, mutation_rate=0.35, max_runtime_s=3600, seed=1967, top_k_res=10, destroy_repair_rate=0.35, crossover_type=clustered, min_population_size=8, max_population_size=18, stagnation_generations=5, population_growth_step=4, population_shrink_step=2"
a_example,genetic_algorithm,4x7,5,3,2,125,0.4017,0.5952,"population_size=12, generations=35, elite_size=2, tournament_size=3, crossover_rate=0.9, mutation_rate=0.35, max_runtime_s=3600, seed=2067, top_k_res=10, destroy_repair_rate=0.35, crossover_type=clustered, min_population_size=8, max_population_size=18, stagnation_generations=5, population_growth_step=4, population_shrink_step=2"
a_example,genetic_algorithm,4x7,5,3,2,125,0.4050,0.5950,"population_size=12, generations=35, elite_size=2, tournament_size=3, crossover_rate=0.9, mutation_rate=0.35, max_runtime_s=3600, seed=2167, top_k_res=10, destroy_repair_rate=0.35, crossover_type=clustered, min_population_size=8, max_population_size=18, stagnation_generations=5, population_growth_step=4, population_shrink_step=2"
a_example,genetic_algorithm,4x7,5,3,2,125,0.4057,0.5950,"population_size=12, generations=35, elite_size=2, tournament_size=3, crossover_rate=0.9, mutation_rate=0.35, max_runtime_s=3600, seed=2267, top_k_res=10, destroy_repair_rate=0.35, crossover_type=clustered, min_population_size=8, max_population_size=18, stagnation_generations=5, population_growth_step=4, population_shrink_step=2"
a_example,genetic_algorithm,4x7,5,3,2,125,0.7822,0.8351,"population_size=18, generations=50, elite_size=2, tournament_size=3, crossover_rate=0.92, mutation_rate=0.4, max_runtime_s=3600, seed=1593, top_k_res=12, destroy_repair_rate=0.4, crossover_type=spatial, min_population_size=10, max_population_size=24, stagnation_generations=5, population_growth_step=4, population_shrink_step=2"
a_example,genetic_algorithm,4x7,5,3,2,125,0.7788,0.8246,"population_size=18, generations=50, elite_size=2, tournament_size=3, crossover_rate=0.92, mutation_rate=0.4, max_runtime_s=3600, seed=1693, top_k_res=12, destroy_repair_rate=0.4, crossover_type=spatial, min_population_size=10, max_population_size=24, stagnation_generations=5, population_growth_step=4, population_shrink_step=2"
a_example,genetic_algorithm,4x7,5,3,2,125,0.7704,0.8244,"population_size=18, generations=50, elite_size=2, tournament_size=3, crossover_rate=0.92, mutation_rate=0.4, max_runtime_s=3600, seed=1793, top_k_res=12, destroy_repair_rate=0.4, crossover_type=spatial, min_population_size=10, max_population_size=24, stagnation_generations=5, population_growth_step=4, population_shrink_step=2"
a_example,genetic_algorithm,4x7,5,3,2,125,0.7952,0.8244,"population_size=18, generations=50, elite_size=2, tournament_size=3, crossover_rate=0.92, mutation_rate=0.4, max_runtime_s=3600, seed=1893, top_k_res=12, destroy_repair_rate=0.4, crossover_type=spatial, min_population_size=10, max_population_size=24, stagnation_generations=5, population_growth_step=4, population_shrink_step=2"
a_example,genetic_algorithm,4x7,5,3,2,125,0.7939,0.8244,"population_size=18, generations=50, elite_size=2, tournament_size=3, crossover_rate=0.92, mutation_rate=0.4, max_runtime_s=3600, seed=1993, top_k_res=12, destroy_repair_rate=0.4, crossover_type=spatial, min_population_size=10, max_population_size=24, stagnation_generations=5, population_growth_step=4, population_shrink_step=2"
a_example,genetic_algorithm,4x7,5,3,2,125,0.7010,0.7114,"population_size=18, generations=50, elite_size=2, tournament_size=3, crossover_rate=0.92, mutation_rate=0.4, max_runtime_s=3600, seed=1632, top_k_res=12, destroy_repair_rate=0.4, crossover_type=score_aware, min_population_size=10, max_population_size=24, stagnation_generations=5, population_growth_step=4, population_shrink_step=2"
a_example,genetic_algorithm,4x7,5,3,2,125,0.6926,0.7111,"population_size=18, generations=50, elite_size=2, tournament_size=3, crossover_rate=0.92, mutation_rate=0.4, max_runtime_s=3600, seed=1732, top_k_res=12, destroy_repair_rate=0.4, crossover_type=score_aware, min_population_size=10, max_population_size=24, stagnation_generations=5, population_growth_step=4, population_shrink_step=2"
a_example,genetic_algorithm,4x7,5,3,2,125,0.6973,0.7111,"population_size=18, generations=50, elite_size=2, tournament_size=3, crossover_rate=0.92, mutation_rate=0.4, max_runtime_s=3600, seed=1832, top_k_res=12, destroy_repair_rate=0.4, crossover_type=score_aware, min_population_size=10, max_population_size=24, stagnation_generations=5, population_growth_step=4, population_shrink_step=2"
a_example,genetic_algorithm,4x7,5,3,2,125,0.6889,0.7111,"population_size=18, generations=50, elite_size=2, tournament_size=3, crossover_rate=0.92, mutation_rate=0.4, max_runtime_s=3600, seed=1932, top_k_res=12, destroy_repair_rate=0.4, crossover_type=score_aware, min_population_size=10, max_population_size=24, stagnation_generations=5, population_growth_step=4, population_shrink_step=2"
a_example,genetic_algorithm,4x7,5,3,2,125,0.7198,0.7111,"population_size=18, generations=50, elite_size=2, tournament_size=3, crossover_rate=0.92, mutation_rate=0.4, max_runtime_s=3600, seed=2032, top_k_res=12, destroy_repair_rate=0.4, crossover_type=score_aware, min_population_size=10, max_population_size=24, stagnation_generations=5, population_growth_step=4, population_shrink_step=2"
a_example,genetic_algorithm,4x7,5,3,2,125,0.8511,0.7798,"population_size=18, generations=50, elite_size=2, tournament_size=3, crossover_rate=0.92, mutation_rate=0.4, max_runtime_s=3600, seed=1464, top_k_res=12, destroy_repair_rate=0.4, crossover_type=clustered, min_population_size=10, max_population_size=24, stagnation_generations=5, population_growth_step=4, population_shrink_step=2"
a_example,genetic_algorithm,4x7,5,3,2,125,0.9051,0.7783,"population_size=18, generations=50, elite_size=2, tournament_size=3, crossover_rate=0.92, mutation_rate=0.4, max_runtime_s=3600, seed=1564, top_k_res=12, destroy_repair_rate=0.4, crossover_type=clustered, min_population_size=10, max_population_size=24, stagnation_generations=5, population_growth_step=4, population_shrink_step=2"
a_example,genetic_algorithm,4x7,5,3,2,125,0.8704,0.7783,"population_size=18, generations=50, elite_size=2, tournament_size=3, crossover_rate=0.92, mutation_rate=0.4, max_runtime_s=3600, seed=1664, top_k_res=12, destroy_repair_rate=0.4, crossover_type=clustered, min_population_size=10, max_population_size=24, stagnation_generations=5, population_growth_step=4, population_shrink_step=2"
a_example,genetic_algorithm,4x7,5,3,2,125,0.8913,0.7785,"population_size=18, generations=50, elite_size=2, tournament_size=3, crossover_rate=0.92, mutation_rate=0.4, max_runtime_s=3600, seed=1764, top_k_res=12, destroy_repair_rate=0.4, crossover_type=clustered, min_population_size=10, max_population_size=24, stagnation_generations=5, population_growth_step=4, population_shrink_step=2"
a_example,genetic_algorithm,4x7,5,3,2,125,0.8868,0.7783,"population_size=18, generations=50, elite_size=2, tournament_size=3, crossover_rate=0.92, mutation_rate=0.4, max_runtime_s=3600, seed=1864, top_k_res=12, destroy_repair_rate=0.4, crossover_type=clustered, min_population_size=10, max_population_size=24, stagnation_generations=5, population_growth_step=4, population_shrink_step=2"
b_short_walk,genetic_algorithm,1000x1000,104333,21170,83163,1815466,3652.4636,12667.2166,"population_size=30, generations=80, elite_size=2, tournament_size=3, crossover_rate=0.9, mutation_rate=0.4, max_runtime_s=3600, seed=2939, top_k_res=40, destroy_repair_rate=0.45, crossover_type=spatial, min_population_size=20, max_population_size=50, stagnation_generations=8, population_growth_step=8, population_shrink_step=4"
b_short_walk,genetic_algorithm,1000x1000,104340,21168,83172,1815835,3631.3631,12766.2701,"population_size=30, generations=80, elite_size=2, tournament_size=3, crossover_rate=0.9, mutation_rate=0.4, max_runtime_s=3600, seed=3039, top_k_res=40, destroy_repair_rate=0.45, crossover_type=spatial, min_population_size=20, max_population_size=50, stagnation_generations=8, population_growth_step=8, population_shrink_step=4"
