Dataset,Algorithm,Grid Size,Score,Total Placements,Residential,Utility,Time (s),Peak Memory (MB),Parameters
a_example,hill_climbing,4x7,4,3,1,75,0.0216,0.0068,"max_iterations=5000, patience=500, min_delta=2, use_restart=True, max_restarts=1"
a_example,hill_climbing,4x7,4,3,1,75,0.0255,0.0066,"max_iterations=5000, patience=500, min_delta=2, use_restart=True, max_restarts=1"
a_example,hill_climbing,4x7,4,3,1,75,0.0232,0.0066,"max_iterations=5000, patience=500, min_delta=2, use_restart=True, max_restarts=1"
a_example,hill_climbing,4x7,4,3,1,75,0.0235,0.0066,"max_iterations=5000, patience=500, min_delta=2, use_restart=True, max_restarts=1"
a_example,hill_climbing,4x7,4,3,1,75,0.0233,0.0066,"max_iterations=5000, patience=500, min_delta=2, use_restart=True, max_restarts=1"
b_short_walk,hill_climbing,1000x1000,103780,20886,82894,1807423,519.4268,220.3475,"max_iterations=5000, patience=500, min_delta=2, use_restart=True, max_restarts=1"
b_short_walk,hill_climbing,1000x1000,103780,20886,82894,1807423,500.0384,220.3478,"max_iterations=5000, patience=500, min_delta=2, use_restart=True, max_restarts=1"
b_short_walk,hill_climbing,1000x1000,103780,20886,82894,1807423,494.1642,220.1269,"max_iterations=5000, patience=500, min_delta=2, use_restart=True, max_restarts=1"
b_short_walk,hill_climbing,1000x1000,103780,20886,82894,1807423,497.6014,220.1269,"max_iterations=5000, patience=500, min_delta=2, use_restart=True, max_restarts=1"
b_short_walk,hill_climbing,1000x1000,103780,20886,82894,1807423,494.4644,220.1269,"max_iterations=5000, patience=500, min_delta=2, use_restart=True, max_restarts=1"
c_going_green,hill_climbing,1000x1000,3892,1715,2177,1589551,1048.1333,327.6185,"max_iterations=5000, patience=500, min_delta=2, use_restart=True, max_restarts=1"
c_going_green,hill_climbing,1000x1000,3883,1700,2183,1578227,1046.9960,329.7511,"max_iterations=5000, patience=500, min_delta=2, use_restart=True, max_restarts=1"
c_going_green,hill_climbing,1000x1000,3852,1679,2173,1551534,1061.3179,327.9718,"max_iterations=5000, patience=500, min_delta=2, use_restart=True, max_restarts=1"
